recipe_name,recipe_group,status,menu_price,food_cost,food_cost_pct
Three Olives Citrus Neat,LIQUOR,COMPLETE,$10.50,$0.66,6.34%
Deep Eddy Grapefruit Neat,LIQUOR,COMPLETE,$10.50,$1.39,13.22%
Grey Goose Neat,LIQUOR,COMPLETE,$13.75,$12.00,87.27%
Deep Eddy Peach Neat,LIQUOR,COMPLETE,$10.50,$1.39,13.22%
Ketel One Neat,LIQUOR,COMPLETE,$12.00,$2.08,17.3%
Big Kahuna Nachos,Food,DRAFT,$14.00,$2.13,15.2%
Drunken Pulled Pork,Food,COMPLETE,N/A,$63.96,
Cheese Curds,Food,COMPLETE,$11.00,$2.10,19.1%
Cheese Curds,Food,COMPLETE,N/A,$24.26,
Vodka Linguine With Grilled Chicken,Food,COMPLETE,--,$2.11,
French Dip Meat,Food,COMPLETE,N/A,$138.43,
Vodka Sauce,Food,COMPLETE,N/A,$9.39,
Carolina Burger,Burgers,COMPLETE,--,$1.76,
Old Irving Crushy Mango,Draft Beer,COMPLETE,--,$2.67,
Sam Adams Winter Lager,Draft Beer,COMPLETE,--,$1.86,
1911 Honey Crisp,Draft Beer,COMPLETE,--,$1.62,
Blind Corner Taper,Draft Beer,DRAFT,--,$0.00,
Golden Road Mango Cart,Draft Beer,COMPLETE,--,$0.00,
Cream Of Chicken With Rice,Food,COMPLETE,N/A,$20.80,
Around The Bend Strawberry Acid Test,Draft Beer,COMPLETE,--,$0.38,
Old Irving Crushy Mango,--,COMPLETE,$7.50,$2.67,35.61%
Cigar City Jai Alai,Draft Beer,COMPLETE,$7.50,$2.01,26.81%
Blind Corner Split Timber,Draft Beer,COMPLETE,$7.50,$1.89,25.16%
Blind Corner Forever Bloom,Draft Beer,COMPLETE,$7.50,$1.89,25.16%
Bell'S Two Hearted Bottle,BOTTLED BEER,COMPLETE,$6.75,$1.50,22.19%
Angry Orchard,BOTTLED BEER,COMPLETE,$6.50,$1.48,22.69%
Bell's Amber Ale,BOTTLED BEER,COMPLETE,$7.00,$1.46,20.83%
Bud Light,BOTTLED BEER,COMPLETE,$4.50,$0.94,20.79%
Budweiser,BOTTLED BEER,COMPLETE,$4.50,$0.90,20.05%
Dos XX Lager,BOTTLED BEER,COMPLETE,$6.25,$1.48,23.6%
Michelob Ultra,BOTTLED BEER,COMPLETE,$4.50,$0.96,21.3%
Miller High Life,BOTTLED BEER,COMPLETE,$4.50,$0.97,21.48%
Miller Lite Btl,BOTTLED BEER,COMPLETE,$4.50,$1.06,23.56%
Modelo Especial,BOTTLED BEER,COMPLETE,$6.25,$1.46,23.33%
Weihenstephaner Hefe Weissbier,BOTTLED BEER,COMPLETE,$8.00,$2.06,25.76%
High Noon Black Cherry,BOTTLED BEER,COMPLETE,$8.00,$1.83,22.92%
High Noon Peach,BOTTLED BEER,COMPLETE,$8.00,$1.83,22.92%
High Noon Pineapple,BOTTLED BEER,COMPLETE,$8.00,$1.83,22.92%
High Noon Tequila Lime,BOTTLED BEER,COMPLETE,$9.00,$1.83,20.37%
Lake Front New Grist Gf,BOTTLED BEER,COMPLETE,$6.50,$1.48,22.85%
Montucky,BOTTLED BEER,COMPLETE,$5.25,$1.15,21.86%
Mon Montucky 16Oz Can,BOTTLED BEER,COMPLETE,$4.00,$1.15,28.7%
Coors Light Btl,BOTTLED BEER,COMPLETE,$4.50,$1.06,23.56%
Blind Corner Forever Blossom,Draft Beer,COMPLETE,$7.50,$1.89,25.16%
Blakes American Apple,Draft Beer,COMPLETE,--,$1.44,
Hinterlands Cherry Wheat,Draft Beer,COMPLETE,$7.50,$1.90,25.36%
Art History Dance Card,Draft Beer,COMPLETE,--,$1.69,
Miskatonic West Coast Wizard,Draft Beer,COMPLETE,$7.50,$2.52,33.67%
Noon Whistle DA Gummy,Draft Beer,COMPLETE,--,$1.73,
Pub Chili,Food,COMPLETE,$7.00,$1.16,16.61%
Spicy Tater Tots,Food,COMPLETE,$13.00,$2.16,16.58%
Mac and Cheese,Food,COMPLETE,$5.00,$0.78,15.51%
Negroni,COCKTAILS,COMPLETE,$11.00,$2.09,18.98%
Blakes Peach Party,Draft Beer,COMPLETE,--,$2.01,
Roasted Red Pepper Soup,Food,COMPLETE,N/A,$13.64,
Maui Wowie Burger,Burgers,COMPLETE,--,$1.74,
Poboy,Food,COMPLETE,--,$3.59,
Italian Salad,Food,COMPLETE,--,$3.76,
Firestone Walker Wookey Jack,Draft Beer,COMPLETE,--,$1.29,
Whiskey Acres Rye Martini,LIQUOR,COMPLETE,$12.75,$0.00,
TUES Chicken Quesadilla,Food,COMPLETE,$11.00,$1.66,15.11%
Half Caesar Salad,Food,COMPLETE,$7.00,$1.66,23.69%
Half Caesar Salad,Modifiers that are also I,COMPLETE,N/A,$1.66,
Spicy Mezcal Margarita,COCKTAILS,COMPLETE,$12.00,$2.46,20.49%
Old Forester Double,LIQUOR,COMPLETE,$13.00,$3.09,23.79%
Lemonade,NA Bev,COMPLETE,$3.50,$0.05,1.42%
Ilegal Mezcal Joven Martini,LIQUOR,COMPLETE,$15.00,$3.60,23.97%
Ilegal Mezcal Joven Double,LIQUOR,COMPLETE,$13.00,$3.00,23.05%
Ilegal Mezcal Joven,LIQUOR,COMPLETE,$10.00,$1.80,17.98%
Herradura,LIQUOR,COMPLETE,$11.00,$0.00,
Freddie's Root Beer,--,COMPLETE,$4.00,$0.88,21.88%
Kids Diet Coke,NA Bev,COMPLETE,$0.00,$0.05,
Shirley Temple,NA Bev,COMPLETE,$3.50,$0.05,1.5%
Chips & Salsa,Food,COMPLETE,$8.00,$0.71,8.92%
Ginger Beer,NA Bev,COMPLETE,$4.00,$0.08,2.03%
Cherry Coke,NA Bev,COMPLETE,$3.50,$0.05,1.5%
Caesar Salad,Food,COMPLETE,$13.00,$1.51,11.62%
Buffalo Trace Martini,LIQUOR,COMPLETE,$18.00,$2.74,15.22%
Sprite,NA Bev,COMPLETE,$3.50,$0.05,1.32%
Orange Juice,NA Bev,COMPLETE,$3.50,$1.13,32.21%
Iced Tea,NA Bev,COMPLETE,$3.50,$0.05,1.56%
Kids Shirley Temple,NA Bev,COMPLETE,$0.00,$0.05,
Kids Sprite,NA Bev,COMPLETE,$0.00,$0.05,
Kids OJ,NA Bev,COMPLETE,$0.00,$1.13,
Kids Lemonade,NA Bev,COMPLETE,$0.00,$0.05,
Kids Iced Tea,NA Bev,COMPLETE,$0.00,$0.05,
Kids Coke,NA Bev,COMPLETE,$0.00,$0.05,
Pineapple Juice,NA Bev,COMPLETE,$3.50,$1.39,39.71%
Weds Locations Sauv Blanc 1/2,Wine,COMPLETE,$5.50,$2.60,47.32%
Jack Rye Martini,LIQUOR,COMPLETE,$13.50,$0.00,
THURS WELL GIN,LIQUOR,COMPLETE,$4.00,$0.46,11.41%
THURS WELL WHISKEY,LIQUOR,COMPLETE,$4.00,$0.36,8.99%
THURS WELL RUM,LIQUOR,COMPLETE,$4.00,$0.48,11.97%
Thurs Bud,BOTTLED BEER,COMPLETE,$3.00,$0.90,30.07%
THURS MILLER HIGH LIFE,BOTTLED BEER,COMPLETE,$3.00,$0.97,32.22%
THURS WELL BOURBON,LIQUOR,COMPLETE,$4.00,$0.36,8.99%
Thurs Coors,BOTTLED BEER,COMPLETE,$3.00,$1.06,35.35%
Thurs Michelob Ultra,BOTTLED BEER,COMPLETE,$3.00,$0.96,31.94%
Thurs Bud Light,BOTTLED BEER,COMPLETE,$3.00,$0.94,31.18%
THURS WELL VODKA,LIQUOR,COMPLETE,$4.00,$0.26,6.55%
Thurs Miller Lite,BOTTLED BEER,COMPLETE,$3.00,$1.06,35.35%
Buffalo Trace,LIQUOR,COMPLETE,$12.00,$1.37,11.41%
Krombacher Pilsner,Draft Beer,COMPLETE,--,$1.70,
Meatball Sub,Food,COMPLETE,--,$3.87,
Breakfast Burger,Burgers,COMPLETE,--,$1.83,
Mozzarella Sticks Starter,Food,COMPLETE,--,$2.30,
Gumbo,Food,COMPLETE,N/A,$28.59,
Fried Pickle Burger,Burgers,COMPLETE,$0.00,$1.31,
Marinara Sauce,Food,COMPLETE,N/A,$5.54,
Mozzarella Sticks Prep,Food,COMPLETE,N/A,$21.70,
Meatballs For Sub,Food,COMPLETE,N/A,$12.21,
Enchilada Soup,Food,COMPLETE,N/A,$29.81,
Lentil Soup,Food,COMPLETE,N/A,$20.83,
Miskatonic West Coast Wizard,Draft Beer,COMPLETE,--,$2.52,
Goodfella,Burgers,COMPLETE,$0.00,$1.57,
Garlic and Parmesan Sauce,Sauces - Cold,COMPLETE,N/A,$11.05,
Margherita Flatbread,Food,COMPLETE,$13.00,$4.36,33.53%
Nashville Hot Chicken Sandwich,Food,COMPLETE,$18.00,$74.79,415.52%
Side House Salad,Food,COMPLETE,$5.00,$0.58,11.58%
Half Southwest Salad,Food,COMPLETE,$7.00,$1.17,16.66%
Half Wedge Salad,Food,COMPLETE,$7.00,$1.62,23.1%
Half Spinach & Quinoa Salad,Food,COMPLETE,$7.00,$2.59,37.07%
Half Pear Salad,Food,COMPLETE,$7.00,$2.21,31.58%
Half Greek Salad,Food,COMPLETE,--,$8.35,
Half Border Salad,Food,COMPLETE,$7.00,$1.87,26.7%
Fried Pickles,Food,COMPLETE,$12.00,$1.17,9.73%
Fried Pickles,Food,COMPLETE,N/A,$26.92,
Kids Mac N Cheese,Food,COMPLETE,$7.00,$3.05,43.55%
Arbol Chile Sauce,Sauces - Cold,COMPLETE,N/A,$3.62,
Loco Shrimp Tacos,Food,COMPLETE,$17.00,$4.73,27.83%
Cilantro Lime Coleslaw,Food,COMPLETE,N/A,$2.95,
Italian Pasta Salad,Modifiers that are also I,DRAFT,N/A,$0.00,
Balsamic Vinaigrette Dressing,Dressings,COMPLETE,N/A,$14.17,
Thousand Island Dressing,Dressings,COMPLETE,N/A,$4.56,
Caesar Dressing,Sauces - Cold,COMPLETE,N/A,$8.00,
Kids Chicken Fingers,--,COMPLETE,$9.00,$1.13,12.51%
Chicken Strips,Food,COMPLETE,N/A,$23.12,
Chicken Strips,Food,COMPLETE,$12.00,$1.41,11.73%
Small Pear Salad,Modifiers that are also I,COMPLETE,N/A,$2.21,
Small Border Salad,--,COMPLETE,N/A,$1.87,
Small Spinach & Quinoa Salad,Modifiers that are also I,COMPLETE,N/A,$2.59,
Small Wedge Salad,Modifiers that are also I,COMPLETE,N/A,$1.62,
Small Southwest Salad,Modifiers that are also I,COMPLETE,N/A,$1.17,
House Salad,Food,COMPLETE,$13.00,$1.16,8.91%
Small House Salad,Modifiers that are also I,COMPLETE,$5.00,$0.58,11.58%
Small Greek Salad,Modifiers that are also I,COMPLETE,N/A,$8.35,
Greek Salad,Food,COMPLETE,--,$10.02,
Small House Salad,Food,COMPLETE,N/A,$0.58,
Macho Burger,Burgers,COMPLETE,--,$1.91,
Salsa Verde,Food,COMPLETE,N/A,$4.23,
Sauerkraut,Food,COMPLETE,N/A,$12.53,
Nashville Hot Sauce,Sauces - Cold,DRAFT,N/A,$36.00,
Elysian Space Dust,Draft Beer,COMPLETE,--,$1.41,
Kids Mini Quesadilla,Food,COMPLETE,$7.00,$0.97,13.8%
Roasted Garlic Aioli,Food,DRAFT,N/A,$8.54,
Chipotle Aioli,Sauces - Cold,COMPLETE,N/A,$13.31,
Pesto,Sauces - Cold,COMPLETE,N/A,$12.87,
Bbq Chicken Flatbread,Food,COMPLETE,$14.00,$2.82,20.13%
Spicy Cajun Aioli,Sauces - Cold,COMPLETE,N/A,$7.22,
Cajun Fries with Meal,Modifiers that are also I,COMPLETE,N/A,$0.40,
Cajun Tots with Meal,Modifiers that are also I,COMPLETE,N/A,$1.21,
Cajun Mix Seasoning,Food,COMPLETE,N/A,$5.59,
Beer Cheese Prep,Food,COMPLETE,N/A,$31.98,
Greek Dressing,Dressings,COMPLETE,N/A,$20.13,
Black Bean and Quinoa Patty,Food,COMPLETE,N/A,$24.41,
Don Julio Blanco,LIQUOR,COMPLETE,$13.00,$2.31,17.76%
Don Julio Blanco Martini,LIQUOR,COMPLETE,$19.50,$4.62,23.68%
Side Celery,Food,COMPLETE,$2.00,$0.61,30.52%
Sunny Side,Burgers,COMPLETE,$0.00,$1.91,
Western,Burgers,COMPLETE,$0.00,$1.00,
Burger Patty,Food,COMPLETE,N/A,$2.05,
Chili,Modifiers that are also I,COMPLETE,N/A,$55.80,
Side Pita,Food,COMPLETE,$2.00,$0.59,29.57%
Side Carrots,Food,COMPLETE,$2.00,$0.53,26.42%
Side Beer Cheese,Sauces - Cold,COMPLETE,$1.00,$0.28,28.56%
Side Bacon,Food,COMPLETE,$2.00,$0.34,17.29%
Shrimp Caesar Wrap,Food,COMPLETE,$17.00,$5.17,30.4%
Kids Mini Burgers,Food,COMPLETE,$10.00,$1.99,19.91%
MON Classic Burger Special,Food,COMPLETE,$15.00,$0.70,4.67%
Sauer-Brat-En,Food,COMPLETE,$16.00,$3.79,23.68%
Pub Patty Melt,Food,COMPLETE,$0.00,$42.08,
Premier Plus,Burgers,COMPLETE,$0.00,$1.42,
Horseradish Cream,Sauces - Cold,COMPLETE,N/A,$12.36,
Orange Wedges,Food,COMPLETE,$2.00,$1.43,71.49%
Pub Slider (one),Food,COMPLETE,N/A,$1.12,
Kids Hot Dog,Food,COMPLETE,$8.00,$1.73,21.67%
Kids Grilled Cheese,Food,COMPLETE,$7.00,$2.20,31.43%
Honey Mustard,Sauces - Cold,COMPLETE,N/A,$14.33,
Honey Bleu,Burgers,COMPLETE,$0.00,$1.12,
Hell Fire,Burgers,COMPLETE,$0.00,$0.79,
Goat Cheese,Burgers,COMPLETE,$0.00,$1.56,
Hacienda,Burgers,COMPLETE,$0.00,$2.55,
Hangover,Burgers,COMPLETE,$0.00,$0.85,
Chicken Caesar Wrap,Food,COMPLETE,$17.00,$2.91,17.14%
Herb Aioli,Sauces - Cold,DRAFT,N/A,$5.98,
Fried Egg,Food,COMPLETE,$2.00,$0.19,9.6%
Drunken Pear,Burgers,COMPLETE,$0.00,$1.76,
Poached Pears,Food,COMPLETE,N/A,$9.20,
Diablo,Burgers,COMPLETE,$0.00,$1.10,
California,Burgers,COMPLETE,$0.00,$1.24,
Crispy Chicken Sandwich,Food,COMPLETE,$18.00,$1.90,10.56%
Country Bloomin',Burgers,COMPLETE,$0.00,$1.29,
Whiskey Steak Sauce,Sauces - Cold,COMPLETE,N/A,$26.02,
Classic,Burgers,COMPLETE,$0.00,$0.70,
Chicken Breast,Food,COMPLETE,$5.00,$1.52,30.31%
Greek Chicken Wrap,Food,COMPLETE,$16.00,$4.38,27.41%
Azteca Wrap,Food,COMPLETE,$16.00,$2.57,16.07%
Ranch Dressing,Sauces - Cold,COMPLETE,N/A,$21.54,
Bulleit Bourbon,Burgers,COMPLETE,$0.00,$1.12,
Buffalo Chicken Wrap,Food,COMPLETE,$16.00,$2.24,13.99%
Blackened Chicken Slider (one),Food,COMPLETE,N/A,$1.15,
Pub Sliders,Food,COMPLETE,$16.00,$3.36,20.98%
Buffalo Bleu,Burgers,COMPLETE,$0.00,$0.93,
Chipotle Ranch,Dressings,COMPLETE,N/A,$8.58,
Slider Bun,Burgers,COMPLETE,N/A,$0.36,
Pretzel Bun,--,COMPLETE,N/A,$0.96,
House Bun,Burgers,COMPLETE,N/A,$0.61,
Gluten Free Bun,Burgers,COMPLETE,N/A,$1.85,
Southwest Salad,Food,COMPLETE,$13.00,$2.19,16.87%
Cajun Tots,Food,COMPLETE,$7.00,$1.21,17.32%
Truffle Tots,Food,COMPLETE,$7.00,$3.79,54.13%
Truffle Tots w meal,Modifiers that are also I,COMPLETE,N/A,$4.60,
Tater Tots,Food,COMPLETE,$7.00,$0.98,13.99%
Tater Tots with Meal,Modifiers that are also I,COMPLETE,N/A,$0.00,
Italian Pasta Salad,Food,DRAFT,$5.00,$0.00,
Truffle Parmesan Fries,Food,COMPLETE,$7.00,$3.79,54.13%
Truffle Fries w Meal,Modifiers that are also I,COMPLETE,N/A,$3.79,
Sweet Potato Fries,Food,COMPLETE,$7.00,$1.22,17.39%
House Fries,Food,COMPLETE,$5.00,$0.17,3.41%
Cajun Fries,Food,COMPLETE,$5.00,$0.40,8.07%
House Fries with Meal,Modifiers that are also I,COMPLETE,N/A,$0.17,
Sweet Potato Fries with Meal,Modifiers that are also I,COMPLETE,N/A,$1.22,
Cucumber Salad with Meal,Modifiers that are also I,COMPLETE,N/A,$5.72,
Cucumber Gin Spin,COCKTAILS,COMPLETE,$13.00,$2.51,19.31%
Cucumber Salad,Food,COMPLETE,$5.00,$3.19,63.75%
Fresco Spritz,COCKTAILS,COMPLETE,$12.00,$1.77,14.76%
Pico De Gallo,Sauces - Cold,COMPLETE,N/A,$7.28,
Cilantro Ranch,Sauces - Cold,COMPLETE,N/A,$6.97,
Pineapple Jalapeno Salsa,Sauces - Cold,COMPLETE,N/A,$10.08,
Italiano Vinaigrette,Dressings,COMPLETE,N/A,$12.10,
Blackberry Basil Vinaigrette,Dressings,COMPLETE,N/A,$7.00,
Honey Lime Vinaigrette,Dressings,COMPLETE,N/A,$7.43,
Bleu Cheese Dressing,Dressings,COMPLETE,N/A,$6.86,
Gold rush,COCKTAILS,COMPLETE,$12.00,$2.42,20.17%
Turkey Club Sandwich,Food,COMPLETE,--,$6.62,
Macho Burger,Burgers,COMPLETE,--,$1.72,
Noon Whistle Gummylicious,Draft Beer,COMPLETE,--,$1.65,
Solemn Oath Cant Handle The Youth,Draft Beer,COMPLETE,--,$1.91,
Firestone MidHaze,Draft Beer,COMPLETE,--,$2.16,
Zing Zang Mix,LIQUOR,COMPLETE,$4.00,$3.08,76.89%
Bloody Mary - Special,COCKTAILS,COMPLETE,$5.00,$1.55,30.94%
Bloody Maria - Special,COCKTAILS,COMPLETE,$5.00,$1.55,30.94%
Bloody Mary,COCKTAILS,COMPLETE,$8.75,$1.55,17.68%
Bloody Maria,COCKTAILS,COMPLETE,$8.75,$1.55,17.68%
Whiskey Acres Rye Neat,LIQUOR,COMPLETE,$13.00,$0.00,
Whiskey Acres Rye,LIQUOR,COMPLETE,--,$0.00,
Pub Sangria White,Wine,COMPLETE,$12.00,$1.72,14.38%
Weds Chalk Hill Chard 1/2,Wine,COMPLETE,$6.00,$2.84,47.32%
Jack Rye,LIQUOR,COMPLETE,$9.00,$0.00,
Weds J. Roget 1/2,Wine,COMPLETE,$4.50,$1.30,28.92%
J. Roget Champagne,Wine,COMPLETE,$9.00,$1.30,14.46%
Glenmorangie,LIQUOR,COMPLETE,$13.00,$0.00,
Glenfiddich 18 YearMartini,LIQUOR,COMPLETE,$28.50,$0.00,
Fireball,LIQUOR,COMPLETE,$7.50,$0.94,12.59%
400 Conejos Mezcal,LIQUOR,COMPLETE,$9.00,$1.46,16.26%
Old Irving Mikos,Draft Beer,COMPLETE,--,$2.91,
MapleWood Goby,Draft Beer,COMPLETE,--,$1.82,
Begyle Free bird,Draft Beer,COMPLETE,--,$4.34,
Half Acre Slow Melt,Draft Beer,DRAFT,--,$1.58,
Noon Whistle GummyPalooza,Draft Beer,DRAFT,--,$1.73,
Jalapeno Popper Burger,Food,COMPLETE,--,$1.94,
Very Gouda Pork Sandwich,Food,COMPLETE,--,$3.07,
Smoked Gouda,--,COMPLETE,N/A,$0.60,
Roasted Corn Dip,Food,COMPLETE,--,$29.95,
Citrus Pulled Pork,Food,COMPLETE,N/A,$122.33,
Bees Knees,COCKTAILS,COMPLETE,$12.00,$21.05,175.45%
Maplewood Fat Pug,Draft Beer,COMPLETE,--,$1.51,
Strawberry Spritz,COCKTAILS,COMPLETE,$11.00,$2.69,24.47%
Aperol Spritz,COCKTAILS,COMPLETE,$11.00,$2.31,20.97%
Margarita,COCKTAILS,COMPLETE,$10.00,$1.44,14.39%
Lychee Mojito,COCKTAILS,COMPLETE,$11.00,$1.98,18.04%
WEDS BENZIGER MERLOT $5,Wine,COMPLETE,$3.00,$2.60,86.61%
Tullamore Dew Neat,LIQUOR,COMPLETE,$13.00,$1.24,9.55%
Avissi Split,Wine,COMPLETE,$12.00,$3.00,25%
Benziger Merlot,Wine,COMPLETE,--,$2.60,
Solemn Oath Death By Vikings,--,COMPLETE,--,$1.56,
400 Conejos Mezcal,LIQUOR,COMPLETE,--,$1.46,
Blueberry Bourbon Smash,COCKTAILS,COMPLETE,--,$2.15,
Espresso Martini,COCKTAILS,DRAFT,$12.00,$1.73,14.44%
Pickle Martini,LIQUOR,COMPLETE,$12.00,$1.52,12.63%
Mojito,COCKTAILS,COMPLETE,$10.00,$1.75,17.5%
Avocado Margarita,COCKTAILS,COMPLETE,$12.00,$1.98,16.48%
Captain Morgan Martini,LIQUOR,COMPLETE,$13.50,$2.51,18.58%
Bacardi Martini,LIQUOR,COMPLETE,$13.50,$1.72,12.7%
Malibu Strawberry Martini,LIQUOR,COMPLETE,$12.75,$0.00,
Malibu Martini,LIQUOR,COMPLETE,$12.75,$2.02,15.86%
Dewars Martini,LIQUOR,COMPLETE,$14.25,$2.79,19.59%
Johnnie Walker Red Martini,LIQUOR,COMPLETE,$15.00,$3.27,21.81%
Glenlivet 15 Year Martini,LIQUOR,COMPLETE,$21.00,$0.00,
Glenfiddich 12 Year Martini,LIQUOR,COMPLETE,$18.00,$0.00,
Glenlivet 15 Year Double,LIQUOR,COMPLETE,$18.20,$0.00,
Johnnie Walker Red Double,LIQUOR,COMPLETE,$13.00,$2.72,20.97%
Dewars Double,LIQUOR,COMPLETE,$12.35,$2.32,18.83%
Glenfiddich 18 Year Double,LIQUOR,COMPLETE,$24.70,$0.00,
Glenfiddich 12 Year Double,LIQUOR,COMPLETE,$15.60,$0.00,
Glenfiddich 12 Year Neat,LIQUOR,COMPLETE,$14.16,$0.00,
Dewars Neat,LIQUOR,COMPLETE,$11.21,$1.86,16.6%
Glenlivet 15 Year Neat,LIQUOR,COMPLETE,$16.52,$0.00,
Johnnie Walker Red Neat,LIQUOR,COMPLETE,$11.80,$2.18,18.48%
Glenfiddich 18 Year Neat,LIQUOR,COMPLETE,$22.42,$0.00,
Hendrick's Martini,COCKTAILS,COMPLETE,$16.50,$3.19,19.36%
Tanqueray Martini,LIQUOR,COMPLETE,$14.25,$29.76,208.87%
Patron Reposado Martini,LIQUOR,COMPLETE,$19.50,$0.02,0.12%
Espolon Blanco Martini,LIQUOR,COMPLETE,$13.50,$14.94,110.64%
Well Tequila Martini,LIQUOR,COMPLETE,$12.00,$2.02,16.82%
Espolon Reposado Martini,LIQUOR,COMPLETE,$15.00,$3.82,25.46%
Don Julio Reposado Martini,LIQUOR,COMPLETE,$21.00,$5.91,28.14%
Don Julio Reposado Double,LIQUOR,COMPLETE,$18.20,$4.92,27.05%
Espolon Reposado Double,LIQUOR,COMPLETE,$13.00,$3.18,24.48%
Maker's Mark Martini,LIQUOR,COMPLETE,$15.00,$0.30,1.98%
Seagrams 7 Martini,LIQUOR,COMPLETE,$12.75,$2.03,15.91%
Knob Creek Rye Martini,LIQUOR,COMPLETE,$18.00,$0.20,1.13%
Woodford Reserve Martini,LIQUOR,COMPLETE,$18.75,$0.00,
Well Whiskey Martini,LIQUOR,COMPLETE,$12.00,$0.72,5.99%
Southern Comfort Martini,LIQUOR,COMPLETE,$12.75,$1.98,15.5%
Seagrams VO Martini,LIQUOR,COMPLETE,$12.75,$0.00,
Knob Creek Martini,LIQUOR,COMPLETE,$16.50,$3.37,20.43%
Jameson Orange Martini,LIQUOR,COMPLETE,$14.25,$3.22,22.59%
Angel's Envy Martini,LIQUOR,COMPLETE,$21.75,$4.67,21.46%
Elijah Craig Martini,LIQUOR,COMPLETE,$15.75,$30.87,196.03%
Bulleit Rye Martini,LIQUOR,COMPLETE,$16.50,$3.71,22.47%
Jack Daniel's Martini,LIQUOR,COMPLETE,$13.50,$3.35,24.84%
Bulleit Martini,LIQUOR,COMPLETE,$16.50,$3.71,22.47%
Jameson Martini,LIQUOR,COMPLETE,$14.25,$2.93,20.54%
Woodford Reserve Double,LIQUOR,COMPLETE,$16.25,$0.00,
Maker's Mark Double,LIQUOR,COMPLETE,$13.00,$0.25,1.9%
Woodford Reserve Neat,LIQUOR,COMPLETE,$14.75,$0.00,
Three Olives Citrus Martini,LIQUOR,COMPLETE,$13.50,$1.00,7.39%
Ketel One Oranje Martini,LIQUOR,COMPLETE,$15.00,$0.26,1.7%
Three Olives Vanilla Martini,LIQUOR,COMPLETE,$13.50,$1.33,9.88%
Three Olives Grape Martini,LIQUOR,COMPLETE,$13.50,$1.33,9.88%
Ketel One Martini,LIQUOR,COMPLETE,$15.00,$3.11,20.77%
Grey Goose Martini,LIQUOR,COMPLETE,$17.25,$18.00,104.34%
Three Olives Cherry Martini,LIQUOR,COMPLETE,$13.50,$1.33,9.88%
Three Olives Raspberry Martini,LIQUOR,COMPLETE,$13.50,$2.61,19.36%
Three Olives Blueberry Martini,LIQUOR,COMPLETE,$13.50,$1.33,9.88%
Ketel One Oranje Double,LIQUOR,COMPLETE,$13.00,$0.21,1.63%
Ketel One Double,LIQUOR,COMPLETE,$13.00,$2.60,19.97%
Tito's Neat,LIQUOR,COMPLETE,$10.92,$1.21,11.1%
Tortilla Strips,Food,COMPLETE,N/A,$1.89,
Wedge Salad,Food,COMPLETE,$13.00,$3.23,24.88%
Mimosa,COCKTAILS,DRAFT,--,$3.08,
